train-logloss,val-logloss,search_id,boost_round
0.233189,0.232794,0,90
0.233168,0.232775,0,91
0.233148,0.232754,0,92
0.233113,0.232719,0,93
0.233098,0.232704,0,94
0.233084,0.232689,0,95
0.233067,0.232671,0,96
0.233049,0.232652,0,97
0.23303,0.232636,0,98
0.233011,0.232617,0,99
0.232998,0.232604,0,100
0.232989,0.232595,0,101
0.232971,0.232579,0,102
0.232958,0.232566,0,103
0.232945,0.232554,0,104
0.232928,0.232537,0,105
0.23291,0.232519,0,106
0.232893,0.232502,0,107
0.232877,0.232486,0,108
0.232871,0.232481,0,109
0.232857,0.232467,0,110
0.232838,0.232449,0,111
0.232828,0.232439,0,112
0.232808,0.232419,0,113
0.232795,0.232407,0,114
0.232785,0.232398,0,115
0.232772,0.232385,0,116
0.232764,0.232377,0,117
0.232753,0.232367,0,118
0.232744,0.232358,0,119
0.232735,0.23235,0,120
0.232723,0.232337,0,121
0.232709,0.232324,0,122
0.232697,0.232313,0,123
0.232685,0.232301,0,124
0.23268,0.232296,0,125
0.232666,0.232283,0,126
0.232656,0.232273,0,127
0.23265,0.232266,0,128
0.232637,0.232253,0,129
0.232619,0.232236,0,130
0.232609,0.232226,0,131
0.232601,0.232218,0,132
0.232595,0.232213,0,133
0.23259,0.232208,0,134
0.23258,0.232199,0,135
0.23257,0.232189,0,136
0.232564,0.232182,0,137
0.232557,0.232176,0,138
0.232551,0.232171,0,139
0.232536,0.232155,0,140
0.232529,0.232148,0,141
0.232521,0.232141,0,142
0.232505,0.232127,0,143
0.232497,0.232118,0,144
0.23249,0.232111,0,145
0.232479,0.232099,0,146
0.232474,0.232095,0,147
0.232467,0.232088,0,148
0.232455,0.232075,0,149
0.232442,0.232063,0,150
0.232431,0.232052,0,151
0.232427,0.232048,0,152
0.232422,0.232043,0,153
0.232412,0.232034,0,154
0.232405,0.232027,0,155
0.232398,0.232021,0,156
0.232393,0.232015,0,157
0.232388,0.232011,0,158
0.232376,0.232,0,159
0.232367,0.231991,0,160
0.232355,0.231979,0,161
0.232349,0.231973,0,162
0.232342,0.231965,0,163
0.232333,0.231956,0,164
0.232327,0.231951,0,165
0.232321,0.231946,0,166
0.232313,0.231938,0,167
0.232307,0.231933,0,168
0.2323,0.231925,0,169
0.232286,0.231912,0,170
0.232281,0.231906,0,171
0.232273,0.231899,0,172
0.232268,0.231894,0,173
0.232263,0.231889,0,174
0.232254,0.231881,0,175
0.23225,0.231876,0,176
0.232243,0.231869,0,177
0.232233,0.231862,0,178
0.232227,0.231856,0,179
0.232218,0.231848,0,180
0.23221,0.23184,0,181
0.232201,0.231833,0,182
0.232197,0.231829,0,183
